source,target,value,,
Web Development,HTML,0,,
Web Development,HTML5,0,,
Web Development,CSS,0,,
UI Frameworks,Bootstrap,0,,
Languages & Scripting,Java,0,,
Languages & Scripting,Python,0,,
Languages & Scripting,Javascript,0,,
Languages & Scripting,Ruby,0,,
Languages & Scripting,Python,0,,
Protocols,HTTPS,0,,
Protocols,REST,0,,
Protocols,JSON,0,,
CI/CD,Bamboo,0,,
CI/CD,Nexus,0,,
Virtualization,VirtualBox,0,,
Virtualization,VMWare,0,,
Databases,MongoDB,0,,
Databases,SQL Server,0,,
Databases,mySQL,0,,
Databases,Postgresql,0,,
Platforms & Clouds,Amazon AWS,0,,
Platforms & Clouds,Linux (various distributions i.e. Ubuntu, CentOS, Fedora),0
IDEs,Eclipse,0,,
IDEs,Spyder,0,,
IDEs,Netbeans,0,,
Source Control,Github,0,,
Source Control,Git,0,,
